ID,設問文,分析カテゴリ,逆転項目
1,難しい課題に直面すると、むしろやる気が出ます。,EX,False
2,初対面の人とも気軽に話すことができます。,EX,False
3,人前で意見を述べることに抵抗はありません。,EX,False
4,静かな環境よりも、にぎやかな場の方が活気が出ます。,EX,False
5,周囲を巻き込んで物事を進めるのが得意です。,EX,False
6,あまり知らない人と話すのは緊張します。,EX,True
7,自分の考えを表現するのは得意な方です。,EX,False
8,他人から注目されるとプレッシャーを感じます。,EX,True
9,チームでの会話を楽しむことが多いです。,EX,False
10,会議では積極的に発言する方です。,EX,False
11,物事を計画的に進めるのが得意です。,CO,False
12,期限を守ることを特に意識しています。,CO,False
13,面倒な作業も途中で投げ出さずに取り組みます。,CO,False
14,予定外のことがあると混乱してしまいます。,CO,True
15,仕事は丁寧さよりスピードを優先します。,CO,True
16,一度決めた目標は最後までやり遂げます。,CO,False
17,小さな約束でもきちんと守るようにしています。,CO,False
18,自分のやるべきことを後回しにすることがあります。,CO,True
19,整理整頓ができていると安心します。,CO,False
20,仕事を始める前に段取りを確認します。,CO,False
21,相手の立場に立って考えるようにしています。,AG,False
22,人の意見を聞く前に自分の考えを決めることがあります。,AG,True
23,他人の失敗を責めるより、助けたいと思います。,AG,False
24,衝突を避けるために、意見を控えることがあります。,AG,False
25,困っている人を見ると放っておけません。,AG,False
26,他人の意見が違っても冷静に受け止められます。,AG,False
27,自分の意見を通すことを優先することがあります。,AG,True
28,周囲の空気を読みすぎて疲れることがあります。,AG,False
29,チームの雰囲気を良くするよう意識しています。,AG,False
30,他人の成功を素直に喜ぶことができます。,AG,False
31,プレッシャーの中でも冷静さを保てます。,NE,False
32,注意されたことをいつまでも気にしてしまいます。,NE,True
33,ミスをしてもすぐに切り替えることができます。,NE,False
34,不安を感じると集中しづらくなります。,NE,True
35,落ち着いた気持ちで人と接することが多いです。,NE,False
36,感情の浮き沈みが大きい方だと思います。,NE,True
37,小さなトラブルでも動揺せず対応できます。,NE,False
38,気分が変わりやすいと感じることがあります。,NE,True
39,緊張しても自分を落ち着かせることが得意です。,NE,False
40,感情を整理してから話すようにしています。,NE,False
41,新しい考え方や方法を試すことが好きです。,OP,False
42,これまでのやり方に強くこだわる方です。,OP,True
43,自分と異なる意見を聞くと刺激を受けます。,OP,False
44,新しい環境にすぐに適応できます。,OP,False
45,変化が多い仕事を好む傾向があります。,OP,False
46,慣れた方法を変えるのは不安です。,OP,True
47,幅広い分野の知識を学びたいと思います。,OP,False
48,発想を広げるために他業界の話を聞くことがあります。,OP,False
49,新しいアイデアを考えることが楽しいです。,OP,False
50,同じことを繰り返すよりも、新しい挑戦をしたいです。,OP,False
51,相手の性格を考えて行動を工夫します。,MA,False
52,自分の目的のためなら多少の駆け引きも必要だと思います。,MA,False
53,相手の感情よりも結果を優先することがあります。,MA,False
54,他人の弱点を利用するのは好ましくないと思います。,MA,True
55,相手を説得するのが得意です。,MA,False
56,相手の心理を読むのは難しいと感じます。,MA,True
57,目的のためには柔軟に立ち回るべきだと思います。,MA,False
58,正直すぎると損をすることがあると思います。,MA,False
59,人を動かすことにやりがいを感じます。,MA,False
60,他人の考えを先に予想して動くようにしています。,MA,False
61,評価されると大きな喜びを感じます。,NA,False
62,自分の意見を正しいと信じることが多いです。,NA,False
63,注目される場面が好きです。,NA,False
64,自分より優れた人を見ると刺激を受けます。,NA,False
65,自分の功績を誇張したくなることがあります。,NA,False
66,他人に認められないとやる気を失うことがあります。,NA,False
67,自分が中心になって動く方が効率的だと感じます。,NA,False
68,他人の評価はあまり気になりません。,NA,True
69,競争の中でこそ力を発揮します。,NA,False
70,人に頼られると嬉しくなります。,NA,False
71,感情的な人との関わりが苦手です。,PS,False
72,相手が落ち込んでいてもあまり影響を受けません。,PS,False
73,自分の感情はコントロールできる方です。,PS,False
74,他人の感情に振り回されることが多いです。,PS,True
75,困難な状況でも冷静に判断できます。,PS,False
76,強い感情を表に出すのは避けます。,PS,False
77,相手に共感しすぎると疲れてしまいます。,PS,False
78,感情よりも理屈で物事を考えます。,PS,False
79,周囲の反応に左右されず判断できます。,PS,False
80,感情的な反応を見ても動じません。,PS,False
81,相手の表情の変化に気づきやすいです。,EM,False
82,誰かが落ち込んでいると、気持ちを察して声をかけます。,EM,False
83,相手が喜んでいると、自分も嬉しくなります。,EM,False
84,周囲の感情に影響されやすいです。,EM,True
85,他人の話を最後まで聞こうと努めます。,EM,False
86,感情的な発言をされると戸惑うことがあります。,EM,True
87,他人の立場を理解しようと意識します。,EM,False
88,人の小さな変化に気づくことがあります。,EM,False
89,誰かのために行動することに喜びを感じます。,EM,False
90,優しい言葉をかけることを心がけています。,EM,False
91,仕事の準備は念入りに行う方です。,WR,False
92,納期を守るために逆算して計画します。,WR,False
93,責任感が強い方だと思います。,WR,False
94,上司や同僚に相談しながら進めます。,WR,False
95,困難な状況でも最後まで粘り強く取り組みます。,WR,False
96,忙しいときに優先順位をつけるのが苦手です。,WR,True
97,目標があると力を発揮できます。,WR,False
98,周囲に頼まれた仕事を断ることが苦手です。,WR,True
99,自分の役割を理解して行動します。,WR,False
100,新しい課題に取り組むときは前向きな気持ちになります。,WR,False
101,これまで一度も嘘をついたことがありません。,LI,True
102,失敗をしたことがない方だと思います。,LI,True
103,どんなときも怒ったことがありません。,LI,True
104,誠実でありたいと常に思っています。,LI,False
105,小さなことでも正直に話すようにしています。,LI,False
106,自分の行動を振り返る時間を持っています。,LI,False
107,言ったこととやっていることが一致していると思います。,LI,False
108,同じ質問を2回されたとき、答えが変わらないように意識します。,LI,False
109,無理に良く見せようとすることはありません。,LI,False
110,正直であることを大切にしています。,LI,False
111,計画的に動くと安心します。,CO,False
112,思いつきで行動することが多いです。,CO,True
113,相手の感情を読むのが得意です。,EM,False
114,他人の感情の変化に気づくことは少ないです。,EM,True
115,失敗しても前向きに考える方です。,NE,False
116,失敗すると長く引きずってしまいます。,NE,True
117,自分が中心になるより、協力して進める方が好きです。,AG,False
118,人をリードするより、支える方が得意です。,AG,False
119,新しいことを学ぶのが好きです。,OP,False
120,変化より安定を求める方です。,OP,True
